Inactive_ants,Random_locations
0,592.8313
0,75.10415
0,0
0,396.3031
0,382.3116
0,27.35742
0,0
0,558.8055
0,0
0,219.4726
0,139.7603
0,294.1974
0,106.475
0,206.622
0,331.5466
0,0
0,48.46242
0,359.0719
0,0
0,0
0,162.9207
0,90.06628
0,0
0,672.2738
0,0
0,274.556
0,17.18674
0,0
0,71.99167
0,0
0,0
0,187.2491
2.120401,11.40705
2.157389,298.2137
2.169947,339.6692
2.139096,0
2.044683,225.2373
1.886318,73.15788
1.699512,0
1.541104,199.6947
0,166.3086
0,140.5644
1.500304,328.8452
1.575127,0
1.657309,3.975959
1.733455,47.95827
0,343.5494
0,244.6204
0,135.1696
0,0
0,8.127492
0,0
0,49.56839
0,209.5316
0,0
0,561.5795
0,0
0,355.2065
0,0
0,158.0262
0,2.183767
0,320.5905
0,0
0,229.2499
0,117.408
0,0
0,108.5933
0,625.1435
0,595.853
0,0
0,1.927143
0,0
0,454.2925
0,169.6283
0,187.7228
0,230.4521
0,0
0,118.6937
0,0
0,99.773
0,0
0,508.463
0,495.4971
0,0
0,577.8417
0,1030.776
0,0
0,38.45988
0,299.8003
0,29.36282
0,223.6751
2.151687,0
2.193812,0
2.205137,340.5349
2.163958,116.9039
2.04864,553.0325
1.869524,56.20562
1.681379,0
0,0
0,0
0,10.22677
1.535957,0
1.604162,0
1.679849,285.7492
0,85.9306
0,0
0,185.9851
0,42.41233
0,0
0,0
