Inactive_ants,Random_locations
45.74166,5.059046
43.16154,319.3145
41.42463,19.08132
40.29352,592.9126
38.53389,201.7324
36.13499,167.8153
33.37101,217.2085
32.31619,278.5946
33.8914,621.7444
36.03879,16.09879
37.81342,48.70487
39.75443,189.5347
41.2383,7.032616
26.36299,153.157
104.2909,594.7398
109.187,55.64024
112.5464,827.4387
114.2514,732.5806
114.2639,27.59491
113.9133,40.18373
114.4039,32.72084
115.3167,663.9344
116.6647,409.4941
118.4358,184.979
120.5846,156.6451
122.8116,361.039
124.9915,212.4863
126.77,490.1711
127.8244,55.88577
128.701,440.8313
129.4764,523.47
128.1527,113.3689
126.4349,394.0202
125.2471,27.49169
123.2115,88.47057
124.446,434.9223
126.6569,636.9333
129.1931,348.6974
131.9411,8.889264
135.0715,89.7571
138.046,26.94512
139.8987,211.058
141.247,287.4461
142.315,350.6362
142.0942,394.1913
140.7525,255.5597
139.0984,146.9243
137.8064,177.0755
136.3916,356.8116
134.9604,48.10817
136.3827,331.9521
140.5707,2.521006
147.0252,81.85361
155.8816,17.37015
166.1219,21.34352
176.3317,66.76192
186.9195,524.738
173.6403,48.02417
157.1441,253.771
138.5535,154.1727
124.0444,17.32133
113.6063,25.8718
109.2722,405.9971
104.4032,46.43826
94.60966,42.79578
82.19908,353.7463
70.37543,347.007
55.81608,27.09973
52.17911,17.98297
49.36753,133.6422
46.77211,10.91907
44.50691,34.12901
42.82263,72.76495
41.56697,143.7945
40.04004,624.8159
38.2927,64.6301
36.94562,231.7775
36.70372,89.83738
38.50845,97.80939
40.24818,181.0026
41.79055,36.13127
43.84369,88.82694
44.89539,110.1815
44.47641,219.5212
26.19543,603.4962
105.5613,197.0582
110.7793,588.7987
114.1743,485.4147
115.8435,42.00425
115.909,21.18375
115.7684,89.30972
115.641,443.6062
115.9946,313.5078
116.9158,20.02124
118.5773,221.2352
120.8363,71.40778
123.4182,38.83032
125.9288,48.74057
127.7767,229.1488
128.5696,70.02587
128.9294,75.06566
129.2168,44.56569
128.8744,462.1653
127.4225,249.9507
124.3183,27.01683
125.1641,207.3766
126.5583,542.6132
128.2201,16.27448
129.9746,47.61773
131.9607,526.4341
134.2465,263.5934
136.6325,1.854755
138.638,16.96659
141.084,41.72804
143.6454,37.167
144.7823,17.4153
144.4294,263.8555
143.657,558.6706
143.5678,565.8627
142.7767,89.42842
145.4998,273.0879
150.4796,199.5344
157.0242,63.72325
165.0244,252.714
174.0518,201.0811
183.0057,26.46667
193.6475,394.3376
176.771,532.0359
157.3217,13.57445
139.4864,50.35752
126.764,221.7151
119.9366,411.7935
119.6856,97.05544
117.9084,31.45952
109.6011,39.92176
95.69929,36.36914
80.34217,386.1189
59.09164,306.0323
54.54568,349.7442
51.57977,38.32991
48.61349,704.3334
45.76722,196.4457
43.31503,72.06054
41.88757,108.2642
40.72543,177.8904
39.68006,87.9911
38.88245,369.1129
38.66685,394.2999
40.07541,36.63332
42.03351,1.445613
44.43357,23.05215
46.61678,140.2772
47.23195,211.9763
46.48872,227.9789
26.82635,153.8212
27.24453,79.64573
27.68343,428.8343
27.69891,254.5128
27.49035,479.8495
27.352,32.19132
110.7343,50.14556
114.165,41.25382
115.9224,48.18996
116.8527,123.7779
117.0003,218.6145
116.663,15.7272
116.7166,461.7124
117.413,16.13399
119.0697,99.64307
121.6911,84.51578
124.5896,335.9799
127.0585,0.3611933
128.3948,42.60821
128.6319,1.624251
127.8927,408.7133
124.7131,174.1377
125.8991,142.7359
127.1973,21.84609
128.4105,175.5773
132.3789,771.7085
133.9327,449.2503
135.7961,199.21
142.3899,107.3383
144.8504,155.709
145.4107,102.1922
145.1891,326.8284
145.8088,436.9985
146.2147,612.0054
149.2427,206.4978
154.8004,157.2677
161.2789,243.5556
168.6831,434.7285
185.8968,738.4398
197.0332,90.60042
178.8808,69.83041
157.8762,32.20261
141.2173,48.4652
130.97,42.95488
130.9668,437.0939
133.3842,167.2304
132.4214,4.417566
124.9055,45.0542
111.3755,254.8592
67.70296,45.24423
60.12513,52.98331
55.31129,152.3131
50.61126,325.8313
46.57051,49.15728
43.71842,506.1702
42.67358,95.75083
42.04459,606.1179
41.20191,122.4113
40.33926,65.62063
39.53978,45.02127
39.86789,71.41472
42.36626,306.0616
45.51878,26.33587
47.84721,249.04
48.28281,174.8343
47.30944,40.87223
46.26169,236.954
39.32346,0.4482579
29.67303,15.98539
30.09464,300.6427
30.20991,5.219465
29.64925,196.0598
28.5514,0.8881993
27.80943,237.0221
27.93868,283.5999
29.18345,540.7937
31.20198,147.0143
32.77559,34.99376
116.5575,333.21
117.0021,293.3011
116.9369,3.258752
119.8432,10.65559
122.9678,62.53856
125.8787,403.5742
124.458,189.4341
130.8687,175.1683
132.2989,349.4838
143.0198,35.58937
144.5052,189.8471
144.9729,145.4055
146.097,34.21983
154.6169,62.41655
160.8515,365.9337
167.7964,16.64495
176.0435,636.0447
196.0736,840.4081
179.1086,62.09297
159.6082,73.07848
144.8229,50.61672
141.0811,148.7679
143.603,384.2244
146.1057,256.7644
144.7949,62.57975
137.9354,408.2345
80.37328,296.3257
69.48313,700.3521
60.2938,20.78412
52.48439,110.0994
47.04735,26.18653
44.43912,3.203227
43.65873,66.3824
43.28752,12.02257
42.36305,41.21303
40.91562,175.5803
39.49024,60.96187
38.6844,592.8712
40.84526,224.6755
44.22703,207.772
46.73188,575.2198
47.26104,41.16685
46.45365,142.9121
45.09945,14.55716
39.02504,403.4832
36.9407,323.5443
32.98652,1.194566
33.15501,135.0704
33.21538,44.75362
33.40347,15.83505
33.19191,580.1221
32.06223,41.80008
30.60244,355.8426
29.252,59.57797
28.72511,431.0486
29.29519,116.7988
30.91706,15.68011
32.34451,136.8081
128.7188,481.4079
141.7216,65.67101
143.1708,134.4332
157.3398,37.10029
163.7344,46.89542
171.6401,34.49312
207.0342,142.9257
195.9981,2.315075
181.5346,461.5503
165.8621,25.29403
154.9363,33.00425
153.3417,80.68595
154.9079,180.5027
155.8171,276.183
154.4975,168.749
148.2946,0.9177728
54.68436,25.91801
47.61278,344.1301
44.53864,48.16803
43.61623,115.8588
41.93161,253.9995
40.41722,46.8615
38.76771,126.1692
36.98724,180.0565
37.26433,21.50372
39.75969,100.3281
42.48608,222.5271
44.37175,44.8125
44.61308,472.5306
42.99282,161.3277
34.95083,61.94936
32.2393,0.4844405
33.52551,35.90692
34.53086,58.17474
34.86367,322.2592
34.7617,46.04017
34.32804,170.5025
33.60682,45.85281
32.56337,321.0164
31.18502,63.32217
29.99014,48.56829
29.1586,4.907991
28.92867,565.2388
29.81651,34.28709
31.19148,202.9151
32.09949,33.3205
125.1529,61.81705
137.3819,749.4207
139.8776,51.88547
152.8128,13.06318
156.3404,202.8441
163.7751,327.5046
210.3052,140.9114
198.8456,38.89014
186.4868,160.1563
173.8765,150.3429
165.1648,61.21731
163.856,481.4752
163.8367,383.0286
42.41059,15.84319
41.53633,258.9077
40.46741,117.2598
39.24294,288.7805
37.48502,524.937
35.64432,440.7977
34.80565,558.9937
36.31129,615.8975
38.73872,327.8878
41.6023,357.2844
43.08936,13.68972
41.72635,20.2692
31.05201,38.94998
31.56807,619.9982
31.96913,179.9812
33.44365,296.2557
34.73666,31.90768
34.97476,168.6724
34.24469,175.4859
33.20331,322.2396
32.05467,342.72
30.94231,9.200175
30.0844,57.06284
29.63073,63.76975
29.3448,559.5839
29.0758,529.4946
29.70506,44.58015
30.76077,285.5073
31.57861,35.08892
146.4917,463.2222
146.7993,42.39553
148.5374,468.2552
212.7577,461.9798
201.3722,21.95141
190.3191,578.0955
178.9007,164.7653
172.2718,164.5688
170.671,12.38425
69.84489,316.3475
55.52744,336.0461
39.68842,832.0184
38.73576,282.4735
37.76824,326.7825
36.0038,50.53765
34.27688,616.9415
33.282,338.9427
34.03418,19.72199
36.381,49.66102
39.31146,33.51564
41.70493,464.9306
41.13717,81.38607
32.98416,56.815
30.19094,198.5804
31.2611,25.31569
31.12559,413.039
31.65044,173.044
33.08035,275.076
34.18616,699.4764
33.86388,67.24684
32.80603,718.7623
31.22704,305.1195
29.74005,207.8706
29.08457,91.08415
28.8274,28.27457
29.19775,360.7831
29.83506,179.3194
30.62552,32.54927
31.35457,45.234
31.75896,397.5392
140.3176,35.76504
222.207,36.37465
212.5913,34.42181
201.9165,51.95476
191.1295,675.1584
180.5608,0.6488197
175.4301,126.657
173.9962,124.7823
54.56325,14.54906
46.16233,49.59047
38.71685,192.7563
37.5055,60.45911
36.50857,42.11592
35.56302,18.23236
33.85702,359.6069
32.4887,499.2636
31.78099,34.87739
32.03414,305.9847
33.97406,546.2954
36.89706,65.96989
39.69476,80.63517
39.95357,370.7608
36.86177,20.39524
32.29961,41.70404
29.48629,24.53413
30.69389,171.3913
31.50014,194.8564
31.30049,219.3319
31.08111,602.9686
31.67853,222.5507
33.05271,422.2062
33.80469,36.2466
32.76813,314.7072
31.3281,440.1727
29.64771,89.81096
28.12972,66.67065
27.87793,230.608
28.11473,87.04203
29.17797,597.3281
30.81646,183.9906
32.54927,393.386
33.78308,7.220478
34.35309,195.4252
224.31,188.2291
213.9223,419.9305
202.8688,489.4334
191.3765,757.8929
181.3236,331.6837
176.9346,63.65027
175.611,239.8966
174.9065,24.19079
54.24003,31.11905
34.99284,194.4701
33.71888,235.5621
32.56117,48.9747
31.11749,21.61528
30.57433,3.053199
30.67717,395.3822
30.68825,43.99912
31.39129,562.2603
33.99613,29.10771
36.56571,59.60646
37.05552,103.092
34.59928,316.5781
30.85859,43.58631
28.69852,435.4787
28.99215,587.3417
30.03536,412.1526
30.9131,497.1524
31.39624,89.16938
31.35045,433.795
31.17728,416.2148
31.65137,331.4081
32.70375,158.0795
33.34518,204.5741
32.28385,328.985
30.25548,457.9611
28.40914,17.15606
27.25874,146.1508
27.18112,47.48006
27.7728,226.0081
28.88465,480.0147
30.72468,13.48918
33.45763,20.64519
35.85453,8.215287
236.2648,101.3223
228.0915,20.97403
216.9207,193.383
205.5278,343.735
194.1235,198.4484
184.711,335.9849
180.4897,387.9472
178.7179,655.3021
30.96711,39.31523
29.56669,11.03112
28.87799,204.5471
29.22267,68.86961
29.78388,399.6192
29.80326,598.606
29.72549,190.3351
30.94703,16.18473
32.73888,99.10491
32.79636,341.2332
31.02473,67.33762
28.69092,102.3728
27.57793,17.4046
27.64891,452.5028
28.32191,38.69987
29.28113,56.21662
30.35,38.11039
30.9233,492.0707
30.93727,562.1575
30.89049,35.8143
31.26935,56.31212
32.1399,145.6528
32.63295,56.47994
31.61683,453.5219
29.59604,230.5075
27.88965,127.1932
26.84244,312.1941
26.40368,31.44107
26.7761,30.23614
27.68364,30.32325
29.3105,22.74578
32.41229,351.202
35.80202,36.80931
33.4015,172.9408
27.14732,199.3456
26.68052,169.6503
238.8619,85.04449
230.7373,32.01097
219.3616,42.35566
208.4488,189.2076
198.202,43.1363
189.6451,102.3337
