MLD,activity
954,0.413194444444444
912,0.417006676557863
920,0.424630816383394
1130,0.374571402094338
1359,0.253413841151881
1363,0.245046728971963
1521,0.23382800608828
1408,0.155799138092561
1391,0.228080396154967
1580,0.166666666666667
1661,0.118668184405236
1600,0.137146136189748
1733,0.0759996127408268
1688,0.0670987418985894
1898,0.0667859834212509
1835,0.0784829140067593
1866,0.0647649135848355
1921,0.0777641625035347
1926,0.0382278717637162
1918,0.0260107435679955
1892,0.0208036477628954
1921,0.0324601366742597
1957,0.0347248576850095
1954,0.0164581961816985
1954,0.0292573143285821
1942,0.0512195121951219
1911,0.043192140142738
1886,0.0353883404730862
1856,0.0275836009824296
1892,0.0444465150950429
1892,0.0560408921933086
1921,0.102839890555713
1777,0.107012792977869
1668,0.102082749603063
1626,0.174068835454974
1588,0.215334572490706
1291,0.220139015913664
1219,0.29579940784604
877,0.43931840841113
902,0.464113964250068
811,0.478786175892105
769,0.524925317401046
761,0.415460232350313
1144,0.401326235173251
1225,0.306610278569458
1368,0.336188235294118
1398,0.300757302560404
1486,0.214783565663977
1446,0.202026836820869
1558,0.202800445103858
1788,0.175796057619409
1599,0.185085268330282
1555,0.191284226764366
1736,0.127772511848341
1934,0.158655235526443
1982,0.0989471722724308
1996,0.167680533751962
1999,0.0910630666533825
2000,0.0852380477093522
1934,0.0827172827172827
1859,0.0583276149397118
1859,0.0759406621475587
1836,0.0790572792362769
1780,0.0712196106123272
1774,0.113232456585762
1787,0.0966895438029875
1804,0.104912490055688
1839,0.0953855373551738
1786,0.0506594724220623
1770,0.0609546876576849
1728,0.0914508836826963
1562,0.128758829465187
1542,0.107956817273091
1666,0.140381282495667
1514,0.135747968295375
1815,0.114714953735947
1898,0.100808040993299
1846,0.15740471341286
1949,0.127450024378352
1857,0.0829488658208381
1537,0.153973995502982
1501,0.205305764166585
1499,0.315267616480555
1220,0.358660844250364
1302,0.343708357129259
1496,0.274320524835989
1882,0.174257790890651
1869,0.225999812681465
1803,0.1937914132704
1948,0.0888828238719068
2037,0.0774263904034896
2165,0.0585019136139967
2104,0.0598714416896235
2144,0.037720561757292
2094,0.0854584915897992
2249,0.0472284812978819
2360,0.048767022451233
2401,0.0223717715532921
2405,0.0568845872899927
2415,0.0444485429730727
2390,0.0270643468655068
2348,0.0373141307397363
2322,0.0739004032636219
2347,0.0718257645968489
2324,0.0711794098237013
2301,0.0721317682695948
2219,0.0615617033330186
2229,0.0830969937606353
2313,0.0676851851851852
2270,0.0719181297530748
2247,0.105737316263632
2246,0.0852043212775951
2217,0.0726752503576538
2248,0.100837209302326
2157,0.126098336137596
1853,0.139157681319694
1723,0.15204623846369
1670,0.196132075471698
1598,0.23132691023562
1463,0.226275974336876
1542,0.235166083088862
1650,0.260017379550063
1548,0.25045546073449
1167,0.31592039800995
1307,0.329101842130381
1274,0.306013986013986
1337,0.273128166635391
1551,0.30760510155881
1563,0.248408248598308
1656,0.208381171067738
1740,0.204255727020033
1778,0.151289073566909
1788,0.197805399106623
1832,0.136136321541026
1793,0.0793251304996271
1847,0.116160663775222
1896,0.122789052318004
1846,0.0839004381467326
1881,0.0759864074004153
1953,0.0703550629344355
1959,0.0694523945811868
2001,0.0317102917722113
1910,0.084805993084902
1966,0.0412973788421648
1923,0.0384688449848024
1973,0.0628776435045317
2006,0.0677886863020103
1986,0.0533023255813953
1988,0.0598841554559043
1998,0.0701474316837262
2096,0.077120822622108
2090,0.0724623789897441
2096,0.0629357272466813
2119,0.0301341394294351
2162,0.038468809073724
2163,0.0775788576300085
2164,0.0925662204500142
2093,0.115516257843697
1945,0.0753348214285714
1982,0.105263157894737
1926,0.0964231642694928
2058,0.160091047040971
1756,0.182175622542595
1535,0.177674849467346
1371,0.188296585728905
1222,0.237946681792399
1162,0.252695167286245
1352,0.287222222222222
1430,0.279321275405557
1373,0.25
1316,0.249075443786982
1309,0.219425444596443
1193,0.235002296738631
1278,0.209369202226345
1345,0.169239565465981
1313,0.187659213133314
1575,0.181415076151918
1607,0.124141221374046
1740,0.101696495152871
1884,0.0696433586071328
1901,0.0507756045861836
1856,0.0564166746895157
1994,0.0744914525833254
2033,0.0456521739130435
2079,0.0647644077341843
2044,0.0501366506455565
2025,0.0675177304964539
2089,0.0529242569511026
2097,0.0633427102531768
2030,0.0632327503363444
2108,0.0410085632730733
2061,0.043807836188226
2062,0.0459272097053726
2059,0.0671763019589107
2093,0.02044911610129
2082,0.051284527718756
2031,0.0414885347842985
1667,0.0769156811845015
1655,0.0892108272969882
1415,0.126331216414265
1317,0.227418570734079
1253,0.22519339127113
1178,0.267394399620313
1107,0.252867026822102
988,0.261703541923844
1008,0.424912805181863
972,0.321201781821628
979,0.339553674490189
1166,0.304913294797688
1292,0.254081632653061
1248,0.230179506357517
1255,0.278071833648393
1323,0.267367246349856
1461,0.200459066564652
1644,0.0997304582210243
1605,0.131556319862425
1556,0.127980997624703
1621,0.0638056527081955
1636,0.112501184721827
1819,0.100500648989431
1776,0.0984432234432234
1732,0.0878384580082607
1578,0.0663839203392956
1576,0.106146270289987
1667,0.0994647636039251
1707,0.0814302611227368
1667,0.0650413817920115
1719,0.0879591650715523
1796,0.0788274197872911
1796,0.0715848987780412
1786,0.0757338731940738
1795,0.101876925950135
1786,0.122407217933216
1780,0.117550274223035
1776,0.131635774698578
1784,0.141846544531108
1764,0.166759776536313
1803,0.160799413274661
1772,0.131209954499025
1837,0.0926601215521272
1728,0.153407497429186
1714,0.130922343706196
1648,0.169326659741241
1515,0.123024510267815
1408,0.142532651902328
1244,0.175450112528132
1287,0.258917647058824
1303,0.247531861425238
1291,0.315189169139466
1311,0.257930411206507
1346,0.235676260940179
1344,0.255977368132871
1388,0.238103804983359
1459,0.188865717653459
1507,0.177029206235442
1544,0.170760007735448
1640,0.169185438646517
1621,0.165481944839352
1716,0.202742041506245
1675,0.166450296735905
1706,0.154044354467654
1646,0.148459383753501
1597,0.148955577852778
1481,0.141658395741225
1623,0.0972171028381865
1687,0.120418848167539
1469,0.14971386376223
1666,0.131216351856921
1522,0.133662461144633
1675,0.134756995581738
1573,0.0899581589958159
1635,0.0687482627629019
1634,0.11409458329462
1639,0.0726678172404396
1734,0.102089009990917
1655,0.079967689822294
1834,0.0831236520488857
1703,0.0847828066660596
1613,0.141260901162791
1760,0.194617563739377
1669,0.139517829315244
1683,0.130042365076441
1609,0.109111049570756
1500,0.128587613293051
1604,0.109041044070361
1660,0.0816515460099981
1687,0.104587833471799
1667,0.0753483082172306
1648,0.11125012029641
1762,0.0819216884198834
1717,0.13192289609779
1728,0.126467597300545
1680,0.194059405940594
1647,0.18988531678887
1668,0.243488216773209
1711,0.179271972840438
1725,0.159399906235349
1729,0.21373679154659
1783,0.132345914954611
1919,0.151469337616933
1808,0.133458294283037
1763,0.100690925840626
1668,0.0751445086705202
1689,0.131048010461424
1752,0.0579352004393191
1886,0.0649712270280304
1863,0.068359375
1905,0.042661804922516
1901,0.032037669651925
1937,0.0123513687897502
1926,0.0129175124561727
1984,0.0122098984061888
1958,0.0124954061006983
1981,0.0097930524759793
2034,0.0068524863413279
1899,0.00459601066274474
1851,0.0362835177198575
1841,0.0318047337278107
1884,0.0257617728531856
1761,0.0593885656229796
1657,0.0411249423697556
1669,0.0347737388724036
1663,0.115541165587419
1684,0.145713503149822
2020,0.103661306441356
1988,0.109028030578813
1964,0.155482214888155
1834,0.234155251141553
1824,0.239109218347973
1271,0.322184858674907
1345,0.308730377306527
1096,0.388543191800878
1171,0.381090120220555
1119,0.379047793780387
1052,0.360414945377766
1004,0.411725642728394
1252,0.355462575546258
1466,0.329922566371681
1680,0.24941850062623
1549,0.232520177745534
1707,0.137730964920111
1821,0.125824225453889
1777,0.123757499776126
1885,0.126525484565686
2027,0.124548083875633
2027,0.0993882436386204
1896,0.135373161430906
1960,0.109566932663857
1971,0.110038437472066
1965,0.150049447091612
1912,0.146949841843651
1926,0.163058125954541
1975,0.131873998932194
1927,0.0847794649313088
1998,0.0639405204460967
2007,0.0438283466007869
2090,0.0313682073992066
1967,0.0575130499627144
1797,0.0936435868331442
1984,0.0524081933936151
1908,0.0338061901252763
2013,0.0404021769209483
2049,0.0170244263508512
2110,0.0181903422409752
2160,0.0350244894187229
2194,0.0455469327420547
2186,0.0454251684978303
1986,0.0696149939987074
1851,0.0636614535418583
1847,0.108847986545828
1797,0.0842230130486358
1788,0.132934682612696
1774,0.108999543170397
1681,0.145812448737811
1285,0.232741979961394
1017,0.288749088256747
1037,0.398192995529061
1278,0.37094912545503
1330,0.326344901418503
1530,0.280931323887736
1467,0.215869311551925
1366,0.254305606449249
1341,0.298732246687637
1437,0.1900731050404
1404,0.214700755374782
1579,0.189549961861175
1769,0.153134242915752
1770,0.17079942556247
1825,0.126699395770393
1732,0.132564566854093
1689,0.0885678988881498
1859,0.0799379123011253
2017,0.0671212859230395
1939,0.0964467005076142
1909,0.0486310549492629
1964,0.116597148122999
1925,0.117216465443483
1863,0.0861221402911704
1937,0.082015065913371
1976,0.116397621070518
1996,0.0897448059956361
1802,0.114070211379086
1626,0.125151092515109
1669,0.116957392050329
1706,0.110934281969669
1765,0.0474521689713961
1684,0.10014742014742
1613,0.0997996374391757
1763,0.152112142451222
1633,0.159854762126431
1478,0.152748365712181
1649,0.196056547619048
1576,0.173965151654835
1604,0.207761918089374
1705,0.244585752465211
1512,0.235174013921114
1814,0.216520767368225
1824,0.208746028779667
1744,0.170115157756764
1767,0.254896340880864
1655,0.226680416236993
1541,0.292772791686349
1972,0.259763851044505
2022,0.215841408125167
2072,0.138881334421177
2241,0.177329163112501
2177,0.134297333935834
2240,0.174988547869904
2259,0.111229661242998
2271,0.150026886538806
2341,0.119095965392425
2365,0.102512297962052
2384,0.186406222379353
2336,0.173640536723164
2362,0.152193295292439
2338,0.123148313403534
2294,0.108049113233288
2287,0.0968124942917161
2284,0.142390416553226
1836,0.152030982617311
1532,0.198637602179837
1447,0.207334918602524
1319,0.277428437353355
1392,0.285701233439927
1247,0.347561537752374
1213,0.312528267752148
1352,0.303010890454837
1404,0.312339567290062
1462,0.263411968303124
1508,0.342134831460674
